,Pressure,Call_ROI
151,0.1,-0.8571428571428571
152,0.5,-0.41379310344827586
153,0.5,-0.46428571428571425
154,0.5,-0.4230769230769231
155,0.5,-0.5769230769230769
156,0.5,-0.46551724137931033
157,0.5,-0.5084745762711865
158,0.5,-0.46428571428571425
159,0.5,-0.59375
160,0.4,-0.41935483870967744
161,0.6,-0.5789473684210527
162,0.6,-0.6029411764705882
163,0.5,-0.12083333333333335
164,0.5,-0.28571428571428575
165,0.5,-0.05752212389380527
166,0.5,0.08823529411764713
167,0.5,-0.24193548387096772
168,0.4,-0.12162162162162159
169,0.6,0.0
170,0.4,-0.03703703703703707
171,0.5,0.06451612903225798
172,0.6,0.090909090909091
173,0.5,0.1724137931034483
174,0.6,-0.6842105263157895
175,0.6,-0.7735849056603773
176,0.5,-0.7647058823529411
177,0.5,-0.7333333333333334
178,0.5,-0.7142857142857143
179,0.5,-0.6428571428571428
180,0.4,-0.6666666666666666
181,0.5,-0.7333333333333334
182,0.5,-0.15909090909090912
183,0.6,-0.28571428571428564
184,0.5,-0.296875
185,0.4,-0.11363636363636373
186,0.4,-0.10256410256410255
187,0.5,-0.8589743589743589
188,0.5,-0.6944444444444444
189,0.5,-0.46875000000000006
190,0.5,-0.7000000000000001
191,0.5,-0.7428571428571429
192,0.4,-0.6666666666666667
193,0.6,-0.46875000000000006
194,0.4,-0.39655172413793105
195,0.6,0.01818181818181812
196,0.4,-0.18181818181818185
197,0.5,-0.6875
198,0.5,-0.6
199,0.4,-0.7272727272727273
200,0.4,-0.7500000000000001
201,0.6,-0.6842105263157894
202,0.6,-0.5
203,0.6,-0.6153846153846154
204,0.5,-0.5454545454545455
205,0.5,-0.5
206,0.6,-0.5348837209302325
207,0.5,-0.5
208,0.5,-0.43243243243243246
209,0.6,-0.15789473684210517
210,0.5,-0.7368421052631579
211,0.3,-0.9411764705882353
212,0.6,-0.3214285714285714
213,0.5,-0.09756097560975598
214,0.5,-0.23809523809523808
215,0.5,-0.5094339622641509
216,0.5,-0.32653061224489804
217,0.5,-0.6071428571428571
218,0.4,-0.23913043478260865
219,0.5,-0.08695652173913032
220,0.7,-0.06097560975609748
221,0.2,-0.060606060606060656
222,0.3,-0.13043478260869565
223,0.3,-0.16666666666666669
224,0.5,-0.37755102040816335
225,0.5,-0.16853932584269662
226,0.2,0.11250000000000004
227,0.2,0.0
228,0.2,0.03947368421052641
229,0.4,4.645833333333333
230,0.6,-0.3140794223826715
231,0.5,0.028455284552845465
232,0.8,-0.3846153846153846
233,0.4,-0.6016949152542374
234,0.6,0.054347826086956444
235,0.7,-0.08823529411764702
236,0.3,-0.13953488372093023
237,0.4,-0.3272727272727273
238,0.4,-0.6764705882352942
239,0.7,-0.5542168674698795
240,0.6,-0.625
241,0.5,0.08000000000000007
242,0.5,-0.1333333333333333
243,0.4,0.08695652173913052
244,0.5,-0.03571428571428559
245,0.5,-0.9285714285714285
246,0.5,-0.8571428571428571
247,0.5,-0.30833333333333335
248,0.5,-0.33606557377049173
249,0.5,0.3047619047619048
250,0.4,0.36263736263736257
251,0.5,-0.45454545454545453
252,0.5,-0.2352941176470588
253,0.5,-0.44680851063829785
254,0.5,-0.3111111111111111
255,0.3,-0.22292993630573255
256,0.5,-0.515625
257,0.5,-0.5
258,0.5,-0.5568181818181818
259,0.6,-0.6590909090909092
260,0.4,-0.2213114754098361
261,0.5,0.06666666666666672
262,0.4,-0.5999999999999999
263,0.5,-0.5573770491803278
264,0.5,-0.7755102040816326
265,0.6,0.27027027027027023
266,0.6,-0.39473684210526316
267,0.5,0.619718309859155
268,0.6,-0.3529411764705882
269,0.7,-0.625
270,0.5,-0.5135135135135135
271,0.6,-0.17647058823529416
272,0.6,-0.16666666666666669
273,0.6,-0.6785714285714286
274,0.5,-0.75
275,0.3,0.21874999999999992
276,0.5,-0.18387096774193556
277,0.5,-0.6538461538461539
278,0.5,0.18421052631578938
279,0.4,0.20920502092050208
280,0.5,-0.20322580645161287
281,0.4,-0.4654088050314466
282,0.4,-0.2830188679245284
283,0.3,-0.2916666666666667
284,0.5,-0.09039548022598866
285,0.6,0.10156249999999992
286,0.5,0.1925925925925926
287,0.5,0.0070921985815602905
288,0.5,-0.45614035087719296
289,0.8,-0.8316831683168318
290,0.5,-0.696035242290749
291,0.8,-0.5922077922077923
292,0.5,-0.35858585858585856
293,0.5,-0.1554054054054054
294,0.5,0.11851851851851845
295,0.5,-0.4318181818181818
296,0.6,-0.30172413793103436
297,0.5,-0.0730337078651686
298,0.3,0.8399999999999999
299,0.4,-0.08333333333333341
300,0.5,0.021276595744680774
301,0.5,-0.25581395348837205
302,0.4,-0.39999999999999997
303,0.5,-0.46938775510204084
304,0.5,-0.3529411764705882
305,0.5,0.39473684210526316
306,0.6,0.2926829268292684
307,0.5,-0.5285714285714286
308,0.5,-0.39999999999999997
309,0.6,-0.16666666666666669
310,0.4,-0.25
311,0.6,-0.5789473684210525
312,0.6,-0.7142857142857143
313,0.5,-0.20754716981132076
314,0.4,-0.14932126696832582
315,0.4,-0.18750000000000003
316,0.4,-0.7241379310344827
317,0.6,-0.25000000000000006
318,0.6,-0.6818181818181819
319,0.4,-0.41818181818181815
320,0.4,-0.42592592592592593
321,0.4,-0.5961538461538461
322,0.4,-0.6440677966101696
323,0.4,-0.7297297297297297
324,0.5,-0.3
325,0.2,-0.875
326,0.6,-0.37837837837837845
327,0.6,-0.42857142857142855
328,0.3,-0.7333333333333334
329,0.6,-0.5833333333333334
330,0.5,-0.5172413793103449
331,0.6,-0.568141592920354
332,0.6,-0.7042735042735042
333,0.5,-0.5217391304347825
334,0.6,-0.4444444444444445
335,0.5,0.10000000000000009
336,0.5,0.2631578947368421
337,0.5,0.37500000000000006
338,0.6,-0.6461538461538462
339,0.9,-0.5757575757575758
340,0.6,-0.21428571428571416
341,0.7,-0.11764705882352938
342,0.5,-0.6521739130434782
343,0.6,-0.625
344,0.5,-0.26666666666666666
345,0.5,-0.17123287671232876
346,0.4,-0.5315985130111524
347,0.4,-0.6644736842105263
348,0.5,-0.5025641025641026
349,0.4,-0.2311320754716982
350,0.6,-0.20863309352517972
351,0.4,-0.39999999999999997
352,0.5,-0.5121951219512195
353,0.4,-0.29032258064516125
354,0.3,-0.9166666666666666
355,0.4,-0.15789473684210517
356,0.5,-0.30303030303030304
357,0.5,-0.44999999999999996
358,0.4,-0.12258064516129029
359,0.6,-0.34588235294117653
360,0.6,-0.09677419354838718
361,0.5,-0.14285714285714282
362,0.6,-0.5483870967741936
363,0.6,-0.5
364,0.5,-0.6451612903225806
365,0.4,-0.5833333333333334
366,0.5,-0.2584745762711864
367,0.5,-0.46249999999999997
368,0.5,-0.2583732057416267
369,0.5,-0.5522388059701493
370,0.5,-0.16113744075829378
371,0.4,-0.08888888888888896
372,0.5,-0.7419354838709676
373,0.5,-0.8275862068965517
374,0.8,0.1538461538461538
375,0.8,-0.1250000000000001
376,0.5,-0.06622516556291397
377,0.4,0.0661157024793389
378,0.4,-0.15
379,0.7,0.2635135135135136
380,0.6,0.39999999999999986
381,0.6,0.43200000000000005
382,0.4,0.18644067796610167
383,0.4,0.22429906542056072
384,0.4,-0.25000000000000006
385,0.4,-0.5555555555555556
386,0.5,-0.38461538461538464
387,0.4,-0.15384615384615388
388,0.4,0.0
389,0.6,0.15789473684210542
390,0.6,-0.39999999999999997
391,0.4,-0.1276595744680852
392,0.4,-0.2222222222222222
393,0.5,0.06153846153846142
394,0.5,-0.007812500000000007
395,0.5,0.08547008547008556
396,0.5,0.04838709677419359
397,0.6,-0.9428571428571428
398,0.6,-0.9714285714285714
399,0.6,-0.9818181818181818
400,0.4,-0.9722222222222222
401,0.5,-0.2717391304347826
402,0.7,-0.15217391304347824
403,0.5,0.25925925925925913
404,0.6,-0.15625
405,0.5,-0.1333333333333333
406,0.5,-0.24999999999999992
407,0.5,-0.09523809523809532
408,0.6,-0.03448275862068969
409,0.5,-0.5769230769230769
410,0.5,-0.2962962962962964
411,0.3,-0.2916666666666667
412,0.5,-0.44000000000000006
413,0.4,-0.6190476190476191
414,0.5,-0.2592592592592593
415,0.4,-0.9333333333333332
416,0.5,-0.9473684210526315
417,0.8,-0.0555555555555556
418,0.9,-0.21052631578947364
419,0.5,-0.08759124087591248
420,0.5,-0.41496598639455784
421,0.5,-0.43089430894308944
422,0.5,-0.3287671232876712
423,0.6,-0.8201438848920863
424,0.4,-0.9027777777777777
425,0.6,-0.7931034482758621
426,0.4,-0.9577464788732394
427,0.5,-0.6944444444444444
428,0.4,-0.5822784810126582
429,0.7,-0.2962962962962964
430,0.5,-0.13953488372093015
431,0.5,0.0487804878048781
432,0.6,0.09302325581395357
433,0.5,0.2820512820512821
434,0.4,0.30000000000000004
435,0.5,0.1250000000000001
436,0.6,-0.6
