,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
1284,IDCC,2016-10-26,0.5,127.0,151.0,-0.975,1.7352941176470589
1285,IBN,2016-10-06,0.4,3755.0,839.0,-0.7352941176470588,0.4687499999999999
1286,IBN,2016-10-10,0.3,3755.0,839.0,-0.14814814814814817,-0.20270270270270274
1287,IBM,2016-10-25,0.3,1215.0,1114.0,0.3285714285714287,-0.16249999999999998
1288,IBKR,2016-10-06,0.5,1708.0,200.0,-0.4864864864864865,0.08571428571428566
1289,IBKR,2016-10-07,0.5,1713.0,200.0,-0.47058823529411764,0.17647058823529416
1290,IBKR,2016-10-11,0.5,1696.0,200.0,-0.6486486486486487,0.4193548387096775
1291,IBKR,2016-10-12,0.5,1696.0,200.0,-0.8064516129032258,0.2894736842105265
1292,IBKR,2016-10-25,0.5,53.0,2172.0,-0.6428571428571428,0.4999999999999999
1293,IAG,2016-10-06,0.7,462.0,539.0,-0.07692307692307698,-0.4
1294,IAG,2016-10-07,0.6,450.0,548.0,0.0,-0.5
1295,IAG,2016-10-10,0.6,450.0,551.0,0.0,-0.5
1296,IAG,2016-10-18,0.2,747.0,556.0,1.6666666666666667,-0.7999999999999999
1297,IAG,2016-10-19,0.3,747.0,556.0,0.0,-0.6923076923076923
1298,IAG,2016-10-20,0.4,803.0,566.0,-0.33333333333333326,-0.4444444444444445
1299,IAG,2016-10-21,0.5,2040.0,566.0,-0.4285714285714285,-0.37500000000000006
1300,IAG,2016-10-24,0.5,2044.0,616.0,-0.4285714285714285,-0.33333333333333326
1301,IAG,2016-10-25,0.5,1808.0,1699.0,-0.09999999999999998,-0.33333333333333337
1302,HZNP,2016-10-14,0.5,419.0,205.0,-0.4375,-0.1250000000000001
1303,HZNP,2016-10-18,0.4,422.0,205.0,0.040000000000000036,-0.5
1304,HZNP,2016-10-19,0.5,335.0,205.0,-0.25806451612903236,-0.3548387096774194
1305,HZNP,2016-10-20,0.5,341.0,205.0,-0.07407407407407414,-0.4516129032258065
1306,HZNP,2016-10-21,0.5,341.0,205.0,-0.3448275862068966,-0.28571428571428564
1307,HZNP,2016-10-25,0.5,12.0,32.0,-0.6511627906976744,-0.06976744186046507
1308,HYG,2016-10-06,0.3,10871.0,7781.0,-0.31000000000000005,-0.13636363636363646
1309,HYG,2016-10-07,0.3,10862.0,7811.0,-0.31192660550458723,-0.19815668202764974
1310,HYG,2016-10-12,0.3,13871.0,8074.0,-0.17346938775510198,-0.3676470588235294
1311,HW,2016-10-26,0.5,40.0,2273.0,-0.4666666666666666,-0.5
1312,HUN,2016-10-06,0.6,1579.0,309.0,-0.27999999999999997,0.12499999999999997
1313,HUN,2016-10-07,0.3,2006.0,213.0,-0.5,0.1538461538461538
1314,HUN,2016-10-11,0.5,2081.0,218.0,-0.631578947368421,0.3043478260869566
1315,HUN,2016-10-12,0.5,1524.0,315.0,-0.13636363636363646,-0.35
1316,HUN,2016-10-25,0.4,2502.0,199.0,-0.16666666666666663,-0.47826086956521735
1317,HUN,2016-10-26,0.6,1563.0,456.0,0.10526315789473695,-0.6428571428571428
1318,HSBC,2016-10-06,0.5,569.0,925.0,-0.3691275167785235,0.20000000000000007
